,AAPL_Close,VIX,GDP,FedRate,CPI,Unemployment
2023-07-07,189.037353515625,14.829999923706055,27967.697,5.12,304.615,3.5
2023-07-10,186.9851837158203,15.069999694824219,27967.697,5.12,304.615,3.5
2023-07-11,186.45977783203125,14.84000015258789,27967.697,5.12,304.615,3.5
2023-07-12,188.13519287109375,13.539999961853027,27967.697,5.12,304.615,3.5
2023-07-13,188.8985595703125,13.609999656677246,27967.697,5.12,304.615,3.5
2023-07-14,189.04727172851562,13.34000015258789,27967.697,5.12,304.615,3.5
2023-07-17,192.31883239746094,13.479999542236328,27967.697,5.12,304.615,3.5
2023-07-18,192.0610809326172,13.300000190734863,27967.697,5.12,304.615,3.5
2023-07-19,193.41928100585938,13.760000228881836,27967.697,5.12,304.615,3.5
2023-07-20,191.46624755859375,13.989999771118164,27967.697,5.12,304.615,3.5
2023-07-21,190.2864990234375,13.600000381469727,27967.697,5.12,304.615,3.5
2023-07-24,191.0895233154297,13.90999984741211,27967.697,5.12,304.615,3.5
2023-07-25,191.9520263671875,13.859999656677246,27967.697,5.12,304.615,3.5
2023-07-26,192.82443237304688,13.1899995803833,27967.697,5.12,304.615,3.5
2023-07-27,191.55548095703125,14.40999984741211,27967.697,5.12,304.615,3.5
2023-07-28,194.14300537109375,13.329999923706055,27967.697,5.12,304.615,3.5
2023-07-31,194.7576446533203,13.630000114440918,27967.697,5.12,304.615,3.5
2023-08-01,193.9248809814453,13.930000305175781,27967.697,5.33,306.138,3.7
2023-08-02,190.92098999023438,16.09000015258789,27967.697,5.33,306.138,3.7
2023-08-03,189.5231475830078,15.920000076293945,27967.697,5.33,306.138,3.7
2023-08-04,180.42221069335938,17.100000381469727,27967.697,5.33,306.138,3.7
2023-08-07,177.30929565429688,15.770000457763672,27967.697,5.33,306.138,3.7
2023-08-08,178.25108337402344,15.989999771118164,27967.697,5.33,306.138,3.7
2023-08-09,176.65493774414062,15.960000038146973,27967.697,5.33,306.138,3.7
2023-08-10,176.4368438720703,15.850000381469727,27967.697,5.33,306.138,3.7
2023-08-11,176.49639892578125,14.84000015258789,27967.697,5.33,306.138,3.7
2023-08-14,178.15428161621094,14.819999694824219,27967.697,5.33,306.138,3.7
2023-08-15,176.15887451171875,16.459999084472656,27967.697,5.33,306.138,3.7
2023-08-16,175.2852783203125,16.780000686645508,27967.697,5.33,306.138,3.7
2023-08-17,172.7340087890625,17.889999389648438,27967.697,5.33,306.138,3.7
2023-08-18,173.22044372558594,17.299999237060547,27967.697,5.33,306.138,3.7
2023-08-21,174.56060791015625,17.1299991607666,27967.697,5.33,306.138,3.7
2023-08-22,175.9405059814453,16.969999313354492,27967.697,5.33,306.138,3.7
2023-08-23,179.8022003173828,15.979999542236328,27967.697,5.33,306.138,3.7
2023-08-24,175.09669494628906,17.200000762939453,27967.697,5.33,306.138,3.7
2023-08-25,177.31045532226562,15.680000305175781,27967.697,5.33,306.138,3.7
2023-08-28,178.87896728515625,15.079999923706055,27967.697,5.33,306.138,3.7
2023-08-29,182.78033447265625,14.449999809265137,27967.697,5.33,306.138,3.7
2023-08-30,186.28468322753906,13.880000114440918,27967.697,5.33,306.138,3.7
2023-08-31,186.50306701660156,13.569999694824219,27967.697,5.33,306.138,3.7
2023-09-01,188.08151245117188,13.09000015258789,27967.697,5.33,307.374,3.8
2023-09-05,188.31976318359375,14.010000228881836,27967.697,5.33,307.374,3.8
2023-09-06,181.5791473388672,14.449999809265137,27967.697,5.33,307.374,3.8
2023-09-07,176.26808166503906,14.399999618530273,27967.697,5.33,307.374,3.8
