,AAPL_Close,VIX,GDP,FedRate,CPI,Unemployment,VIX_Rolling_30,CPI_Rolling_90,GDP_Change,CPI_Change,VIX_Change,VIX_FedRate_Interaction,GDP_Lag_1Q,CPI_Lag_1M,FedRate_Lag_1M,Unemployment_Lag_1M
2022-03-27,171.9340362548828,0.022520266127596767,-0.25705631553908154,-1.0247846126977238,-0.1651837876357611,-0.5467473459960903,1.030408981833406,-0.2326561330764833,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-1.0354652373057502,-0.2707752972491332,-0.2569795437789638,-1.0490641430531664,-0.5060642981562365
2022-03-28,172.800048828125,-0.16380845353269252,-0.25705631553908154,-1.0247846126977238,-0.1651837876357611,-0.5467473459960903,0.9917331005318057,-0.22908615376414984,-0.05227334548023093,-0.13799393335649032,-0.8824244336472746,-1.0414213755797481,-0.2707752972491332,-0.2569795437789638,-1.0490641430531664,-0.5060642981562365
2022-03-29,176.10646057128906,-0.27907950851536883,-0.25705631553908154,-1.0247846126977238,-0.1651837876357611,-0.5467473459960903,0.9495103131839928,-0.2255161744518191,-0.05227334548023093,-0.13799393335649032,-0.5864967191642494,-1.04510610192638,-0.2707752972491332,-0.2569795437789638,-1.0490641430531664,-0.5060642981562365
2022-03-30,174.93540954589844,-0.2111800291970126,-0.25705631553908154,-1.0247846126977238,-0.1651837876357611,-0.5467473459960903,0.8969383318098274,-0.22194619513948563,-0.05227334548023093,-0.13799393335649032,0.322403214692756,-1.0429356437796709,-0.2707752972491332,-0.2569795437789638,-1.0490641430531664,-0.5060642981562365
2022-03-31,171.82582092285156,-0.016956147319714256,-0.25705631553908154,-1.0247846126977238,-0.1651837876357611,-0.5467473459960903,0.834940317642783,-0.2183762158271549,-0.05227334548023093,-0.13799393335649032,0.9422987252066034,-1.0367271306815133,-0.2707752972491332,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-01,171.53057861328125,-0.16380845353269252,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.7809592860690242,-0.21513906299026803,6.769711080882298,4.357050665286917,-0.7084964102869437,-0.9770168642210224,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-02,171.53057861328125,-0.16380845353269252,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.7282415380050227,-0.21190191015338666,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-0.9770168642210224,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-03,171.53057861328125,-0.16380845353269252,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.6682356222621467,-0.2086647573164998,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-0.9770168642210224,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-04,175.59475708007812,-0.33118836221857406,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.6030794039544004,-0.20542760447961567,-0.05227334548023093,-0.13799393335649032,-0.8414132492233796,-0.9858450658299627,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-05,172.26861572265625,0.0572597027171555,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.5498757854590482,-0.20219045164273156,-0.05227334548023093,-0.13799393335649032,1.986168273806336,-0.9653569567206965,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-06,169.09014892578125,0.22621870408266542,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.4801523128110065,-0.19895329880584742,-0.05227334548023093,-0.13799393335649032,0.7489321954623035,-0.9564454682427145,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-07,169.39523315429688,0.13937041378990145,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.4141700925282417,-0.1957161459689633,-0.05227334548023093,-0.13799393335649032,-0.3999679605166587,-0.9610261507279413,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-08,167.37789916992188,0.07778730519005878,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.3593144793502362,-0.19247899313207645,-0.05227334548023093,-0.13799393335649032,-0.2970140582282269,-0.9642742591938444,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-09,167.37789916992188,0.07778730519005878,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.3152453602680904,-0.18924184029519506,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-0.9642742591938444,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-10,167.37789916992188,0.07778730519005878,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.26864967416642943,-0.1860046874583082,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-0.9642742591938444,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-11,163.10707092285156,0.5846646104677213,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.23765067171659968,-0.18276753462142406,-0.05227334548023093,-0.13799393335649032,2.2777594632488447,-0.937539777874552,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-12,164.98663330078125,0.567294892172942,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.2061172006714227,-0.1795303817845427,-0.05227334548023093,-0.13799393335649032,-0.09103603554181375,-0.9384559175486665,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-13,167.6829376220703,0.18200501259646923,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.15777235136126933,-0.1762932289476558,-0.05227334548023093,-0.13799393335649032,-1.5477090783012932,-0.9587774529198487,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-14,162.65438842773438,0.32096215659243843,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.12312926507200206,-0.1730560761107717,-0.05227334548023093,-0.13799393335649032,0.5889606283282175,-0.9514483672976243,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-15,162.65438842773438,0.32096215659243843,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.10383991795150606,-0.16981892327388484,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-0.9514483672976243,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-16,162.65438842773438,0.32096215659243843,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.0894093492835932,-0.1665817704370007,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-0.9514483672976243,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-17,162.65438842773438,0.32096215659243843,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.08372457812337607,-0.16334461760011934,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-0.9514483672976243,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-18,162.43792724609375,0.23727205165893125,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.07546465104703151,-0.16010746476323245,-0.05227334548023093,-0.13799393335649032,-0.37663285404236274,-0.9558624760447674,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-19,164.73077392578125,0.11094764909998912,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.06331770491557388,-0.15687031192634834,-0.05227334548023093,-0.13799393335649032,-0.5697682887154029,-0.962525266714657,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-20,164.56349182128906,-0.05485346808739689,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.047721021263743175,-0.1536331590894642,-0.05227334548023093,-0.13799393335649032,-0.7676479767257477,-0.9712701973399014,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-21,163.7664031982422,0.31780397123318166,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.04645773775398532,-0.15039600625257735,-0.05227334548023093,-0.13799393335649032,1.7385451719467342,-0.951614941035708,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-22,159.21022033691406,1.1910220439317765,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.06900246680840715,-0.14715885341569598,-0.05227334548023093,-0.13799393335649032,3.6747240351598247,-0.9055583667737358,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-23,159.21022033691406,1.1910220439317765,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.1007788730692592,-0.14392170057881185,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-0.9055583667737358,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-24,159.21022033691406,1.1910220439317765,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.136733831764896,-0.140684547741925,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-0.9055583667737358,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-25,160.28285217285156,1.0031145327729916,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.16690685077447565,-0.13744739490504085,-0.05227334548023093,-0.13799393335649032,-0.662248667256063,-0.9154692659095284,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-26,154.29978942871094,2.029501282403078,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.2286619297258445,-0.13421024206815674,-0.05227334548023093,-0.13799393335649032,3.625221293236489,-0.8613340400893007,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-27,154.073486328125,1.7263224150804843,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.2868215137343881,-0.13097308923127263,-0.05227334548023093,-0.13799393335649032,-0.8911543688550334,-0.8773247535823817,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-28,161.03074645996094,1.4720942161018387,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.34070536751492303,-0.1277359363943885,-0.05227334548023093,-0.13799393335649032,-0.7951705567746052,-0.8907336376765489,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-29,155.13626098632812,2.0105527726098034,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.40906838812736795,-0.12449878355750163,-0.05227334548023093,-0.13799393335649032,1.7015892285684346,-0.8623334507471112,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-04-30,155.13626098632812,2.0105527726098034,-0.04992650767257429,-0.9691991418319009,-0.11127792292150855,-0.5467473459960903,0.4714551134673074,-0.1212616307206175,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-0.8623334507471112,-0.11710081953355801,-0.11523547604742615,-0.9977980839153797,-0.5489366183771841
2022-05-01,155.13626098632812,2.0105527726098034,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,0.5383605042509311,-0.11656829505959326,-0.05227334548023093,10.77308088663645,-0.02259067893923789,-0.4914377327985163,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-02,155.44129943847656,1.8431725627427888,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,0.6001155832022994,-0.1129377531196835,-0.05227334548023093,-0.13799393335649032,-0.503833629705372,-0.5120369069518508,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-03,156.93704223632812,1.3552440684395342,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,0.6468570359937965,-0.10930721117977375,-0.05227334548023093,-0.13799393335649032,-1.4714390038569403,-0.5720853680961678,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-04,163.37277221679688,0.7504654264739745,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,0.6801396702474664,-0.10567666923986126,-0.05227334548023093,-0.13799393335649032,-2.0081247082115823,-0.6465143617027819,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-05,154.27027893066406,1.663160213801013,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,0.7295534474809299,-0.1020461272999515,-0.05227334548023093,-0.13799393335649032,3.4253261585719037,-0.5341906951956856,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-06,154.99957275390625,1.5036754673321406,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,0.7688609659037163,-0.09841558536004448,-0.05227334548023093,-0.13799393335649032,-0.5134661231935894,-0.5538181892101984,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-07,154.99957275390625,1.5036754673321406,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,0.8108408180358542,-0.09478504342013472,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-0.5538181892101984,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-08,154.99957275390625,1.5036754673321406,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,0.8547155907989361,-0.09115450148022222,-0.05227334548023093,-0.13799393335649032,-0.02259067893923789,-0.5538181892101984,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-09,149.85523986816406,2.2237251642803764,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,0.9207463907109287,-0.08752395954031247,-0.05227334548023093,-0.13799393335649032,2.2677817698647837,-0.4652029991690519,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
2022-05-10,152.26971435546875,1.945811478650704,-0.04992650767257429,-0.7810637019783461,0.020078341140036,-0.5895950659730458,0.9782257487016738,-0.08389341760040271,-0.05227334548023093,-0.13799393335649032,-0.7905918539339041,-0.49940532460781856,-0.11710081953355801,-0.06151534160804295,-0.9422598531827775,-0.5489366183771841
